 	Area	Perim.
1596	4	7.657
1597	9	20.971
1598	4	7.071
1599	380	252.333
1600	9	16.728
1601	4	10.485
1602	24	37.941
1603	5	10.485
1604	10	19.556
1605	823	454.039
1606	4	9.071
1607	7	11.314
1608	5	11.314
1609	7	16.485
1610	4	9.899
1611	6	11.899
1612	8	18.971
1613	7	13.314
1614	11	16.142
1615	4	7.657
1616	12	26.627
1617	13	28.870
1618	7	15.071
1619	5	7.071
1620	17	24.385
1621	4	10.485
1622	7	16.142
1623	7	12.728
1624	6	10.485
1625	7	18.142
1626	4	9.899
1627	10	22.142
1628	4	10.485
1629	15	32.042
1630	4	11.314
1631	6	12.728
1632	7	12.485
1633	4	7.071
1634	126	93.539
1635	6	13.314
1636	5	11.899
1637	4	8.485
1638	5	13.314
1639	8	18.971
1640	5	10.243
1641	14	29.456
1642	8	11.899
1643	313	246.919
1644	5	10.485
1645	14	30.284
1646	4	8.485
1647	13	25.799
1648	5	10.485
1649	6	13.899
1650	8	15.556
1651	7	14.728
